what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1517628440930
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1517628440931
os,sysinfo,,,"win32",1517628440934
arch,sysinfo,,,"x86_64",1517628440934
ws,sysinfo,,,"win32",1517628440934
locale,sysinfo,,,"en_US",1517628440934
processors,sysinfo,,,"4",1517628440934
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1517628440934
java.runtime.version,sysinfo,,,"1.8.0_161-b12",1517628440934
java.specification.name,sysinfo,,,"Java Platform API Specification",1517628440934
java.specification.vendor,sysinfo,,,"Oracle Corporation",1517628440934
java.specification.version,sysinfo,,,"1.8",1517628440934
java.vendor,sysinfo,,,"Oracle Corporation",1517628440934
java.version,sysinfo,,,"1.8.0_161",1517628440934
java.vm.info,sysinfo,,,"mixed mode",1517628440934
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1517628440934
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1517628440934
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1517628440934
java.vm.specification.version,sysinfo,,,"1.8",1517628440934
java.vm.vendor,sysinfo,,,"Oracle Corporation",1517628440934
java.vm.version,sysinfo,,,"25.161-b12",1517628440934
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517628444514
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517628444607
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517628446127
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517628446444
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1517628446868
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1517628446872
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1517628446877
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1517628446879
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1517628446884
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1517628446887
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1517628446889
stopped,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1517628446893
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1517628446899
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1517628446901
stopped,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1517628446961
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1517628446964
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui",1517628446975
stopped,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1517628446979
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1517628446983
stopped,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1517628446987
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1517628446990
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1517628446991
